state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,33,731,-95.5563,28.7994,23.2973,0.37,0.0201,999,91.2434,0.0092,SL
1,33,732,-95.5567,28.8003,-81.6961,2.0161,999,0.0443,999,999,DC
1,33,732,-95.5566,28.8002,-67.9461,1.2197,999,0.0947,999,999,DT
1,33,732,-95.5562,28.7995,22.4806,0.37,0.0277,999,90.4267,0.0094,SL
1,33,733,-95.5566,28.8003,-81.6961,2.0364,999,0.0393,999,999,DC
1,33,733,-95.5566,28.8002,-69.1961,1.3321,999,0.1106,999,999,DT
1,33,733,-95.5561,28.7995,21.8418,0.37,0.0004,999,91.0379,0.0106,SL
1,33,734,999,999,999,999,999,999,999,999,DC
1,33,734,999,999,999,999,999,999,999,999,DT
1,33,734,-95.556,28.7996,21.7512,0.37,0.0199,999,999,999,SL
1,33,735,-95.5565,28.8004,-84.1961,2.096,999,0.035,999,999,DC
1,33,735,-95.5564,28.8003,-69.1961,1.3764,999,0.1116,999,999,DT
1,33,735,-95.5559,28.7996,22.1874,0.37,0.0841,999,91.3835,0.011,SL
1,33,736,-95.5564,28.8005,-84.1961,2.1128,999,0.028,999,999,DC
1,33,736,-95.5563,28.8004,-69.1961,1.3319,999,0.1301,999,999,DT
1,33,736,-95.5558,28.7996,22.6012,0.37,0.0567,999,91.7973,0.0105,SL
1,33,737,-95.5563,28.8005,-84.1961,2.1205,999,0.0299,999,999,DC
1,33,737,-95.5562,28.8004,-67.9461,1.2899,999,0.0467,999,999,DT
1,33,737,-95.5557,28.7997,22.3934,0.37,0.0787,999,90.3395,0.0102,SL
1,33,738,-95.5562,28.8006,-84.1961,2.116,999,0.0341,999,999,DC
1,33,738,-95.5561,28.8004,-67.9461,1.2835,999,0.0497,999,999,DT
1,33,738,-95.5557,28.7997,21.4869,0.37,0.0598,999,89.433,0.0102,SL
1,33,739,-95.5561,28.8006,-84.1961,2.0871,999,0.0434,999,999,DC
